TimeStamp	SystemTimeStamp	Error	Behavior	EyeLeft	EyeRight	OnsetS	DurationS	VelocityDegps	AmplitudeDeg	DirectionRadial	
536165298000	527499540513	None	Fixation	(292.67, 175.56)	(95.34, 234.91)	506.8449	0.3166504	NaN	NaN	NaN	
536181965000	527516207355	None	Fixation	(290.89, 174.99)	(95.31, 234.59)	506.8449	0.333313	NaN	NaN	NaN	
536198631000	527532873423	None	Fixation	(291.67, 175.23)	(95.08, 234.83)	506.8449	0.3499756	NaN	NaN	NaN	
536215298000	527549539943	None	Fixation	(291.02, 174.98)	(95.12, 234.77)	506.8449	0.3666382	NaN	NaN	NaN	
536231964000	527566205761	None	Fixation	(290.32, 175.53)	(94.91, 234.90)	506.8449	0.3833313	NaN	NaN	NaN	
536248631000	527582872570	None	Fixation	(290.73, 174.86)	(95.13, 235.24)	506.8449	0.3999939	NaN	NaN	NaN	
536265295000	527599536525	None	Fixation	(291.66, 174.75)	(95.04, 235.02)	506.8449	0.4166565	NaN	NaN	NaN	
536281962000	527616203187	None	Fixation	(292.16, 175.15)	(95.29, 235.07)	506.8449	0.4333191	NaN	NaN	NaN	
536298628000	527632869287	None	Fixation	(291.98, 175.01)	(95.32, 235.26)	506.8449	0.4499817	NaN	NaN	NaN	
536315295000	527649536220	None	Fixation	(291.65, 174.52)	(94.82, 235.42)	506.8449	0.4666443	NaN	NaN	NaN	
536331963000	527666203598	None	Fixation	(291.93, 174.92)	(95.28, 235.22)	506.8449	0.4833069	NaN	NaN	NaN	
536348630000	527682870418	None	Fixation	(292.04, 174.79)	(95.39, 235.33)	506.8449	0.4999695	NaN	NaN	NaN	
536365294000	527699534232	None	Fixation	(291.69, 174.88)	(94.46, 235.43)	506.8449	0.5166626	NaN	NaN	NaN	
536381961000	527716201131	None	Fixation	(292.14, 174.97)	(94.95, 235.43)	506.8449	0.5333252	NaN	NaN	NaN	
536398630000	527732869845	None	Fixation	(292.01, 174.84)	(95.08, 235.03)	506.8449	0.5499878	NaN	NaN	NaN	
536448628000	527782867283	None	Fixation	(291.64, 174.16)	(95.16, 236.80)	506.8449	0.5999756	NaN	NaN	NaN	
536448628000	527782867301	None	Fixation	(291.64, 174.16)	(95.16, 236.80)	506.8449	0.5999756	NaN	NaN	NaN	
536448628000	527782867267	None	Fixation	(291.64, 174.16)	(95.16, 236.80)	506.8449	0.5999756	NaN	NaN	NaN	
536465294000	527799533100	None	Fixation	(292.01, 174.32)	(95.02, 236.67)	506.8449	0.6166382	NaN	NaN	NaN	
536481962000	527816201143	None	Fixation	(291.23, 173.67)	(94.72, 236.19)	506.8449	0.6333008	NaN	NaN	NaN	
536498627000	527832865707	None	Saccade	(297.29, 170.27)	(95.07, 236.35)	507.4782	0.01669312	85.44437	2.848145	227.6627	
536515294000	527849532531	None	Saccade	(291.59, 174.11)	(95.57, 236.37)	507.4782	0.03335571	84.54388	0.2335861	307.9428	
536531960000	527866198379	None	Fixation	(291.10, 174.13)	(95.42, 236.43)	507.0782	0.4500122	NaN	NaN	NaN	
536548627000	527882865522	None	Pursuit	(291.98, 173.87)	(95.18, 236.45)	507.5283	0.0166626	11.23573	0.3745243	240.793	
536565293000	527899531442	None	Pursuit	(292.12, 174.11)	(95.59, 236.29)	507.5283	0.0333252	3.444448	0.4193846	256.1179	
536581959000	527916196947	None	Fixation	(293.60, 173.66)	(95.21, 236.07)	507.0782	0.5	NaN	NaN	NaN	
536598626000	527932863537	None	Fixation	(291.56, 174.09)	(95.41, 236.43)	507.5782	0.0166626	NaN	NaN	NaN	
536615292000	527949529350	None	Fixation	(292.72, 174.05)	(95.71, 236.31)	507.5782	0.0333252	NaN	NaN	NaN	
536631961000	527966198174	None	Fixation	(291.78, 173.97)	(95.48, 235.93)	507.5782	0.05001831	NaN	NaN	NaN	
536648627000	527982863973	None	Fixation	(291.22, 173.76)	(94.73, 236.36)	507.5782	0.06668091	NaN	NaN	NaN	
536665291000	527999527789	None	Fixation	(291.54, 173.76)	(95.53, 236.35)	507.5782	0.08334351	NaN	NaN	NaN	
536681958000	528016194606	None	Fixation	(293.96, 172.67)	(94.60, 235.85)	507.5782	0.1000061	NaN	NaN	NaN	
536698625000	528032861418	None	Fixation	(291.41, 173.72)	(95.00, 235.77)	507.5782	0.1166687	NaN	NaN	NaN	
536715291000	528049527229	None	Fixation	(291.79, 173.56)	(95.26, 235.99)	507.5782	0.1333313	NaN	NaN	NaN	
536731958000	528066194095	None	Fixation	(293.07, 173.26)	(95.22, 235.72)	507.5782	0.1499939	NaN	NaN	NaN	
536748624000	528082860370	None	Fixation	(291.44, 173.78)	(95.38, 235.80)	507.5782	0.1666565	NaN	NaN	NaN	
536765293000	528099528888	None	Fixation	(292.19, 173.62)	(94.47, 235.25)	507.5782	0.1833496	NaN	NaN	NaN	
536781959000	528116194504	None	Fixation	(292.65, 173.54)	(95.24, 235.82)	507.5782	0.2000122	NaN	NaN	NaN	
536798626000	528132861231	None	Fixation	(290.51, 174.06)	(95.28, 235.62)	507.5782	0.2166748	NaN	NaN	NaN	
536815292000	528149527069	None	Saccade	(285.86, 181.92)	(98.77, 224.69)	507.7949	0.0166626	112.4274	4.704497	24.16922	
536831959000	528166193910	None	Saccade	(273.81, 198.74)	(106.27, 209.16)	507.7949	0.0333252	254.4345	12.21881	28.32655	
536848625000	528182859720	None	Saccade	(266.51, 212.46)	(107.76, 199.01)	507.7949	0.04998779	191.1624	18.5672	19.00071	
536865292000	528199526660	None	Pursuit	(263.73, 219.55)	(108.01, 192.76)	507.8449	0.0166626	76.88905	2.562968	15.27785	
536881958000	528216192314	None	Pursuit	(264.59, 217.41)	(108.17, 192.79)	507.8616	0.01669312	28.30754	0.9435846	189.1523	
536898625000	528232859414	None	Pursuit	(264.74, 217.12)	(107.40, 191.60)	507.8616	0.03335571	4.1095	1.080252	189.6802	
